"user_id","treatment","pre_profit","prior_purchases","user_tenure","profit_30d"
1,1,33.873643237645,4,31,36.3661129325967
2,1,31.1377595175491,6,15,34.7600413159723
3,0,41.5936201159153,2,14,37.6240121930492
4,0,9.16945993114974,9,3,20.8193973381448
5,0,17.8680354945696,3,14,14.3688221163633
6,0,11.4328415359549,8,25,21.9382428363946
7,1,17.2534892663024,1,26,28.3885474606274
8,1,16.4005801239467,6,27,20.955200267931
9,1,33.3678108668719,5,5,29.9131000439848
10,0,20.3486182528417,6,27,26.4872725123745
11,0,11.3039784107591,4,28,15.8441284345325
12,1,10.984759472188,6,9,8.3968410164484
13,1,11.5414752966085,6,29,28.2016355281113
14,0,14.9584623454749,7,35,15.6758451443056
15,0,34.0495747781642,5,8,31.5383923733371
16,1,16.6871795513324,6,26,20.1184468728852
17,0,21.7313687907676,3,7,21.0742750778971
18,1,12.25383690212,6,9,18.1715201412812
19,0,23.3492560884517,4,19,23.333753664354
20,1,9.621996528378,6,36,16.1938717534764
21,1,20.3181588084926,2,14,31.3047232584531
22,1,38.5114877690541,5,17,52.1786393771313
23,0,12.7117646512232,3,12,14.6919513349159
24,0,22.3140511317822,7,15,19.8003849886135
25,1,7.38812971159502,11,32,19.7464499940007
26,0,26.4225751456024,5,7,23.31450844036
27,0,28.6281454562883,6,9,26.1412740020535
28,0,33.314481488674,7,10,33.0894085399326
29,0,26.2029584002872,2,23,20.9728386073344
30,1,57.4199781875501,4,27,60.4842669345964
31,0,22.6456960699851,1,7,29.7333553366357
32,1,19.6189889428676,5,27,26.5260614560021
33,1,16.1283632488298,4,32,19.483067248078
34,1,19.3744543974133,5,25,30.5007306698936
35,0,26.0397790875751,6,34,16.1511229067164
36,0,26.8283894372608,3,29,22.7980087871998
37,0,17.8330491934659,5,5,20.781158452381
38,0,6.43107478728548,8,8,15.5029225497835
39,1,20.580551595663,4,12,13.5550127837186
40,0,27.6258489461676,2,13,21.7672224124222
41,1,9.08303559388212,3,18,16.0747663738812
42,1,22.2916459186347,8,33,30.7746243704638
43,0,11.1836502615334,5,27,15.6663175003265
44,0,18.4969214021539,3,25,32.9888515764996
45,1,14.0336334461877,6,21,10.1548936641842
46,0,20.5603406851954,3,15,23.7029158906105
47,1,26.7029370005418,13,26,28.1021763382309
48,1,14.911350599748,7,31,23.9396710063458
49,1,32.7167177820598,4,16,35.7506069348208
50,0,30.7143556179162,5,30,23.2305127176262
51,0,39.0621647803511,4,6,32.1916316228688
52,1,12.8755415058374,1,8,18.709044940833
53,0,13.0008739446685,6,22,12.6379467904475
54,0,36.9280779576717,9,22,33.7819123135478
55,1,18.3120607631074,3,31,19.4975375960936
56,0,18.3705219441843,0,17,25.2598646378162
57,1,14.4739765930279,7,34,20.8934133292077
58,1,17.8810904723605,3,4,14.2992578097366
59,1,17.7648373703781,2,13,26.9862554607758
60,1,15.6586903997554,2,5,12.295630073441
61,1,19.6166671610296,5,25,20.5047300993078
62,0,26.5132015139536,4,22,23.4886274690521
63,0,29.7761561761861,1,25,25.6046648744498
64,0,39.7724157416989,5,32,43.1160502652232
65,1,12.2928611356009,6,25,22.4601090200817
66,1,21.8184943840488,4,23,11.7475303952054
67,0,39.4784906621023,4,35,33.6459070301042
68,0,14.2894831963461,4,30,10.7269193900675
69,1,30.9227667257065,9,12,23.1173649827675
70,0,9.11791657754153,4,31,12.3043169686917
71,1,24.5042763555652,3,30,17.1908853391436
72,1,14.6604288037861,5,35,19.3273621266925
73,1,13.1593645704592,2,14,31.7995936471653
74,1,28.9924904224623,3,29,31.4657050771836
75,0,16.9838846038916,8,32,20.9629487516075
76,1,12.0914636760739,1,7,15.0532745875806
77,1,17.8843436779588,5,3,24.2700495930875
78,1,13.0958764221903,3,23,17.0510751761594
79,1,7.43145912728806,1,15,7.1873491450707
80,0,33.0023168655407,1,21,25.9901203913405
81,1,19.1336430423083,6,8,19.9802930341477
82,1,10.3874515386421,6,10,15.3354548198342
83,1,14.8912718431175,3,34,21.8718078045312
84,1,30.6014568036451,10,10,32.0670862372948
85,0,17.8153137972838,6,22,13.5518792604252
86,1,57.8827857491554,3,12,55.0072658917003
87,1,18.4344549969132,7,20,21.765258631167
88,1,30.1439016959817,3,17,26.7159986483019
89,1,38.7062221887752,5,35,40.484266731001
90,1,3.95556886739635,3,30,4.90104381739772
91,0,32.3405135964396,6,15,26.9465874603117
92,1,11.8868179144545,7,24,17.2927641260738
93,0,13.0463208561789,9,23,12.0043627024144
94,0,22.3561501683385,5,7,23.5522957715202
95,0,34.1372004841142,4,29,38.2321590452054
96,0,8.38985003444331,6,15,4.05263753587397
97,1,36.1161909501888,3,23,35.5705426298911
98,1,10.1816990975477,7,26,7.56313376088772
99,1,11.3372498412768,6,32,21.5512575207338
100,1,34.8444551298918,5,7,26.2045358909212
101,0,15.1773197174572,5,27,23.5568493364339
102,0,29.7753198499497,6,5,26.4925107781516
103,0,32.8772703152698,5,6,31.746283911011
104,1,35.2262990582457,2,16,31.3956211201882
105,1,17.0450829580508,6,24,25.6267374371245
106,0,24.0152019197419,5,32,27.7647405044018
107,0,20.1329883801028,5,21,26.074915218989
108,1,29.9236827562773,4,11,33.5790466931657
109,1,18.6445570610268,6,36,34.4182080001381
110,0,52.9016375197659,2,19,47.6682204714516
111,0,45.4068102944541,2,25,45.0142984249869
112,1,35.993700266132,2,26,33.8085309276697
113,0,37.1975170100803,6,9,44.6548286723705
114,1,63.2412437753355,7,7,55.5469144869675
115,0,23.7598416640308,10,34,34.378923915458
116,0,15.2496279869711,2,13,16.9825294155044
117,1,10.1729650153783,5,19,20.519580289637
118,1,28.100315857245,4,4,25.3574593982714
119,0,18.4533386126863,4,1,15.0051387177526
120,1,21.3823509350343,7,30,25.7254717744621
121,1,24.1366276916058,6,30,19.4987625368957
122,0,12.7009933043071,6,25,16.0218726602138
123,0,25.5552207888546,8,16,27.2286471706719
124,1,18.2753071480842,6,24,23.7854706426112
125,0,33.3478248932067,5,11,21.7752839487797
126,0,22.8570723978088,6,20,30.2673928967538
127,1,17.1918815966665,6,3,20.8017755338133
128,0,20.7161515790325,5,29,28.9328623396657
129,1,36.6895778715139,4,36,35.6435848374288
130,0,15.7678339561594,1,22,11.5159537322593
131,0,27.1236615266928,3,20,20.8689096833781
132,1,14.5818555269162,4,11,16.1449457374862
133,0,66.3995095974978,4,8,50.0775817997312
134,0,35.9488953477141,2,21,37.1443105444235
135,0,17.5690986452995,8,2,18.042351108645
136,0,33.9285253731125,4,13,32.9554703117327
137,1,13.0550384859019,9,6,11.7088944878035
138,1,27.7726245315979,10,8,23.6661738391888
139,0,7.26950175980291,3,32,13.8509363778763
140,1,11.8854421119549,5,36,18.4155134293712
141,0,25.4322635370503,5,14,20.65388963524
142,0,53.0006573812889,3,16,42.73944492408
143,0,33.9240419226907,6,23,31.357434932931
144,1,23.1983978160502,7,33,28.1867690623151
