store_id,period,state,urban,pre_treatment_sales,cohort,relative_period,treated,sales
1,1,RN,0,8.46250092981685,7,-6,0,2.6844966200343654
1,2,RN,0,8.46250092981685,7,-5,0,9.976058446181241
1,3,RN,0,8.46250092981685,7,-4,0,12.8579799747728
1,4,RN,0,8.46250092981685,7,-3,0,5.760202111318145
1,5,RN,0,8.46250092981685,7,-2,0,9.657839548653408
1,6,RN,0,8.46250092981685,7,-1,0,15.154313747821705
1,7,RN,0,8.46250092981685,7,0,1,11.065741496869485
1,8,RN,0,8.46250092981685,7,1,1,11.889830362301735
1,9,RN,0,8.46250092981685,7,2,1,11.396833616394009
1,10,RN,0,8.46250092981685,7,3,1,13.001095533444719
1,11,RN,0,8.46250092981685,7,4,1,9.805376963463104
1,12,RN,0,8.46250092981685,7,5,1,18.450978213794578
2,1,PB,1,6.735207645121334,5,-4,0,6.7186215784315255
2,2,PB,1,6.735207645121334,5,-3,0,11.20252179690038
2,3,PB,1,6.735207645121334,5,-2,0,14.682974608632938
2,4,PB,1,6.735207645121334,5,-1,0,10.007060242059476
2,5,PB,1,6.735207645121334,5,0,1,18.908633215702462
2,6,PB,1,6.735207645121334,5,1,1,12.548678441830383
2,7,PB,1,6.735207645121334,5,2,1,20.500757260013216
2,8,PB,1,6.735207645121334,5,3,1,10.522987325582235
2,9,PB,1,6.735207645121334,5,4,1,17.36878498942347
2,10,PB,1,6.735207645121334,5,5,1,23.731236317150483
2,11,PB,1,6.735207645121334,5,6,1,17.72935808650969
2,12,PB,1,6.735207645121334,5,7,1,16.108923520705318
3,1,CE,0,8.063135738511427,9,-8,0,18.15935878674438
3,2,CE,0,8.063135738511427,9,-7,0,18.418366474864992
3,3,CE,0,8.063135738511427,9,-6,0,14.727334208430932
3,4,CE,0,8.063135738511427,9,-5,0,9.700246860401322
3,5,CE,0,8.063135738511427,9,-4,0,20.10766245526958
3,6,CE,0,8.063135738511427,9,-3,0,11.872626495620683
3,7,CE,0,8.063135738511427,9,-2,0,9.342175457562973
3,8,CE,0,8.063135738511427,9,-1,0,14.728037091406728
3,9,CE,0,8.063135738511427,9,0,1,18.08762054055342
3,10,CE,0,8.063135738511427,9,1,1,13.0736212871225
3,11,CE,0,8.063135738511427,9,2,1,28.499049817574306
3,12,CE,0,8.063135738511427,9,3,1,25.75350159267237
4,1,CE,1,10.867999715812033,7,-6,0,20.068576907998985
4,2,CE,1,10.867999715812033,7,-5,0,16.627331651655908
4,3,CE,1,10.867999715812033,7,-4,0,18.240716330565192
4,4,CE,1,10.867999715812033,7,-3,0,24.503674325694064
4,5,CE,1,10.867999715812033,7,-2,0,29.357924369818953
4,6,CE,1,10.867999715812033,7,-1,0,34.963241316250155
4,7,CE,1,10.867999715812033,7,0,1,27.4421961916649
4,8,CE,1,10.867999715812033,7,1,1,34.104493418771845
4,9,CE,1,10.867999715812033,7,2,1,33.685072352816725
4,10,CE,1,10.867999715812033,7,3,1,43.861470673466165
4,11,CE,1,10.867999715812033,7,4,1,39.07161316793895
4,12,CE,1,10.867999715812033,7,5,1,38.31028928069062
5,1,BA,0,5.539401329363066,9,-8,0,5.786463505733698
5,2,BA,0,5.539401329363066,9,-7,0,14.088255767193129
5,3,BA,0,5.539401329363066,9,-6,0,10.689035461087444
5,4,BA,0,5.539401329363066,9,-5,0,11.536404400272904
5,5,BA,0,5.539401329363066,9,-4,0,3.7856060915168763
5,6,BA,0,5.539401329363066,9,-3,0,2.798821697110135
5,7,BA,0,5.539401329363066,9,-2,0,2.2777010624037226
5,8,BA,0,5.539401329363066,9,-1,0,8.392963236017994
5,9,BA,0,5.539401329363066,9,0,1,1.8489892130220258
5,10,BA,0,5.539401329363066,9,1,1,5.694976757341541
5,11,BA,0,5.539401329363066,9,2,1,6.139389836589453
5,12,BA,0,5.539401329363066,9,3,1,4.047499858838906
6,1,RN,1,8.652924275315051,5,-4,0,23.862663551253053
6,2,RN,1,8.652924275315051,5,-3,0,23.43292935189072
6,3,RN,1,8.652924275315051,5,-2,0,28.915477618657302
6,4,RN,1,8.652924275315051,5,-1,0,26.349382007290043
6,5,RN,1,8.652924275315051,5,0,1,30.341405463177114
6,6,RN,1,8.652924275315051,5,1,1,29.95720549059294
6,7,RN,1,8.652924275315051,5,2,1,36.25318866833172
6,8,RN,1,8.652924275315051,5,3,1,31.88719747297809
6,9,RN,1,8.652924275315051,5,4,1,38.92166890345256
6,10,RN,1,8.652924275315051,5,5,1,42.69318042044678
6,11,RN,1,8.652924275315051,5,6,1,37.976583656930224
6,12,RN,1,8.652924275315051,5,7,1,37.270217867392944
7,1,CE,1,8.85376953420932,5,-4,0,19.94693329481693
7,2,CE,1,8.85376953420932,5,-3,0,19.339307542710596
7,3,CE,1,8.85376953420932,5,-2,0,17.781454629040212
7,4,CE,1,8.85376953420932,5,-1,0,14.501082319313774
7,5,CE,1,8.85376953420932,5,0,1,17.25018203502495
7,6,CE,1,8.85376953420932,5,1,1,22.452460967103082
7,7,CE,1,8.85376953420932,5,2,1,24.710150290865112
7,8,CE,1,8.85376953420932,5,3,1,25.978696536102
7,9,CE,1,8.85376953420932,5,4,1,30.9328733391776
7,10,CE,1,8.85376953420932,5,5,1,31.311855063528167
7,11,CE,1,8.85376953420932,5,6,1,37.104485540536444
7,12,CE,1,8.85376953420932,5,7,1,31.691375756017
8,1,CE,1,8.76484509311319,7,-6,0,20.439817555311265
8,2,CE,1,8.76484509311319,7,-5,0,10.562766058138994
8,3,CE,1,8.76484509311319,7,-4,0,16.495127189876897
8,4,CE,1,8.76484509311319,7,-3,0,19.380394876739665
8,5,CE,1,8.76484509311319,7,-2,0,24.05590725805141
8,6,CE,1,8.76484509311319,7,-1,0,23.946150199392502
8,7,CE,1,8.76484509311319,7,0,1,13.668768844427452
8,8,CE,1,8.76484509311319,7,1,1,19.852902615508143
8,9,CE,1,8.76484509311319,7,2,1,17.221696094952208
8,10,CE,1,8.76484509311319,7,3,1,20.88061652543513
8,11,CE,1,8.76484509311319,7,4,1,23.814206764084773
8,12,CE,1,8.76484509311319,7,5,1,27.52625463717519
9,1,PB,1,9.120520783571182,5,-4,0,5.167867552273095
9,2,PB,1,9.120520783571182,5,-3,0,7.214712713941155
9,3,PB,1,9.120520783571182,5,-2,0,12.846401339323416
9,4,PB,1,9.120520783571182,5,-1,0,18.084685471070372
9,5,PB,1,9.120520783571182,5,0,1,19.255373190359332
9,6,PB,1,9.120520783571182,5,1,1,20.65096926708794
9,7,PB,1,9.120520783571182,5,2,1,17.5659725747812
9,8,PB,1,9.120520783571182,5,3,1,21.20278423704103
9,9,PB,1,9.120520783571182,5,4,1,20.788790120732575
9,10,PB,1,9.120520783571182,5,5,1,22.468112278740318
9,11,PB,1,9.120520783571182,5,6,1,26.843309531205925
9,12,PB,1,9.120520783571182,5,7,1,26.564109106172452
10,1,BA,1,10.34911515679486,0,NA,0,15.172261982518378
10,2,BA,1,10.34911515679486,0,NA,0,21.166961468380958
10,3,BA,1,10.34911515679486,0,NA,0,22.500312628681176
10,4,BA,1,10.34911515679486,0,NA,0,27.294914721688638
10,5,BA,1,10.34911515679486,0,NA,0,30.143153990730305
10,6,BA,1,10.34911515679486,0,NA,0,32.43691997943142
10,7,BA,1,10.34911515679486,0,NA,0,31.525136094295917
10,8,BA,1,10.34911515679486,0,NA,0,39.2016256564284
10,9,BA,1,10.34911515679486,0,NA,0,32.08036962329307
10,10,BA,1,10.34911515679486,0,NA,0,34.73515565991547
10,11,BA,1,10.34911515679486,0,NA,0,29.93333257754049
10,12,BA,1,10.34911515679486,0,NA,0,36.25824303263794
11,1,PE,0,7.90060928323925,0,NA,0,8.824981516130908
11,2,PE,0,7.90060928323925,0,NA,0,9.011821341852395
11,3,PE,0,7.90060928323925,0,NA,0,10.54368564771844
11,4,PE,0,7.90060928323925,0,NA,0,15.360473694567979
11,5,PE,0,7.90060928323925,0,NA,0,8.653507696140476
11,6,PE,0,7.90060928323925,0,NA,0,7.111867801137279
11,7,PE,0,7.90060928323925,0,NA,0,11.382226505439164
11,8,PE,0,7.90060928323925,0,NA,0,11.797822194304661
11,9,PE,0,7.90060928323925,0,NA,0,2.5892862861837163
11,10,PE,0,7.90060928323925,0,NA,0,8.102618048099828
11,11,PE,0,7.90060928323925,0,NA,0,10.899209523516713
11,12,PE,0,7.90060928323925,0,NA,0,4.364928653163183
12,1,PB,0,8.738156385167091,0,NA,0,7.978624727831584
12,2,PB,0,8.738156385167091,0,NA,0,9.841176248946221
12,3,PB,0,8.738156385167091,0,NA,0,10.629107278073985
12,4,PB,0,8.738156385167091,0,NA,0,12.668055470204564
12,5,PB,0,8.738156385167091,0,NA,0,10.164064556656115
12,6,PB,0,8.738156385167091,0,NA,0,12.134930824251255
12,7,PB,0,8.738156385167091,0,NA,0,15.498037423856927
12,8,PB,0,8.738156385167091,0,NA,0,14.493793983353406
12,9,PB,0,8.738156385167091,0,NA,0,13.090143226876373
12,10,PB,0,8.738156385167091,0,NA,0,11.461559265942467
12,11,PB,0,8.738156385167091,0,NA,0,20.757162837773574
12,12,PB,0,8.738156385167091,0,NA,0,10.428705413698387
13,1,CE,1,7.805753626587982,7,-6,0,20.150753851782657
13,2,CE,1,7.805753626587982,7,-5,0,28.031867356980403
13,3,CE,1,7.805753626587982,7,-4,0,24.30407508536789
13,4,CE,1,7.805753626587982,7,-3,0,20.83712697906239
13,5,CE,1,7.805753626587982,7,-2,0,19.563735631654378
13,6,CE,1,7.805753626587982,7,-1,0,18.88449694510536
13,7,CE,1,7.805753626587982,7,0,1,28.23381148721324
13,8,CE,1,7.805753626587982,7,1,1,24.98645946301468
13,9,CE,1,7.805753626587982,7,2,1,26.885065543129333
13,10,CE,1,7.805753626587982,7,3,1,23.61523346180293
13,11,CE,1,7.805753626587982,7,4,1,29.170805399225483
13,12,CE,1,7.805753626587982,7,5,1,27.143092994355534
14,1,PE,1,7.951270401891331,0,NA,0,17.334088769743012
14,2,PE,1,7.951270401891331,0,NA,0,15.876290680777084
14,3,PE,1,7.951270401891331,0,NA,0,9.043104667498238
14,4,PE,1,7.951270401891331,0,NA,0,13.232912839565188
14,5,PE,1,7.951270401891331,0,NA,0,17.777324849077278
14,6,PE,1,7.951270401891331,0,NA,0,10.574336320251376
14,7,PE,1,7.951270401891331,0,NA,0,12.465872471338262
14,8,PE,1,7.951270401891331,0,NA,0,8.64149303804295
14,9,PE,1,7.951270401891331,0,NA,0,19.02790859013649
14,10,PE,1,7.951270401891331,0,NA,0,23.113140447548247
14,11,PE,1,7.951270401891331,0,NA,0,11.36973197132357
14,12,PE,1,7.951270401891331,0,NA,0,16.451875403611027
15,1,CE,0,6.399997616403563,0,NA,0,7.455538342112275
15,2,CE,0,6.399997616403563,0,NA,0,4.288058951923261
15,3,CE,0,6.399997616403563,0,NA,0,4.482276657904898
15,4,CE,0,6.399997616403563,0,NA,0,5.021109284150083
15,5,CE,0,6.399997616403563,0,NA,0,0.5866198192389245
15,6,CE,0,6.399997616403563,0,NA,0,1.6781039668254767
15,7,CE,0,6.399997616403563,0,NA,0,3.0145019989805393
15,8,CE,0,6.399997616403563,0,NA,0,-2.8956730375695585
15,9,CE,0,6.399997616403563,0,NA,0,6.380392422267963
15,10,CE,0,6.399997616403563,0,NA,0,7.046781009864923
15,11,CE,0,6.399997616403563,0,NA,0,10.428266782450557
15,12,CE,0,6.399997616403563,0,NA,0,-0.6470510450766707
16,1,CE,0,6.85964556839891,5,-4,0,12.622548733088697
16,2,CE,0,6.85964556839891,5,-3,0,12.221100232516797
16,3,CE,0,6.85964556839891,5,-2,0,2.069217188363491
16,4,CE,0,6.85964556839891,5,-1,0,11.105680931959522
16,5,CE,0,6.85964556839891,5,0,1,6.635522758906943
16,6,CE,0,6.85964556839891,5,1,1,11.319308692566228
16,7,CE,0,6.85964556839891,5,2,1,9.486671155764151
16,8,CE,0,6.85964556839891,5,3,1,3.2757960789571614
16,9,CE,0,6.85964556839891,5,4,1,8.998398647345713
