"net_worth","premium","returns"
81.2834108481184,"Regular",11.6378446829249
63.3033002703451,"Regular",5.66230920477926
65.9951098286547,"Regular",6.35118184157181
64.8902579559945,"Regular",11.9576326891262
84.6199166611768,"Regular",3.92554125677964
65.2976511162706,"Regular",6.83824843029217
92.8880209638737,"Regular",6.95269251081245
38.9496876928024,"Regular",-0.344614100007622
75.1270457264036,"Regular",8.27753180977137
69.8671738128178,"Regular",8.50353096196183
60.4721589945257,"Regular",2.84954981641109
96.6628535557538,"Regular",1.37921562932812
75.805027030874,"Regular",4.22989598642045
31.6684958222322,"Regular",4.45418712013496
62.768601255957,"Regular",11.6975060924463
90.0140209123492,"Regular",4.37510592361486
55.5542193935253,"Regular",0.460034786603063
55.5902465083636,"Regular",11.390453622165
83.1095333327539,"Regular",3.48942359829747
37.5305545818992,"Regular",-2.42216164578836
54.2315152194351,"Regular",5.8770536128448
87.0258720591664,"Regular",3.61517971020542
32.7737519703805,"Regular",-0.244088542577219
80.0721844867803,"Regular",-1.53874541420382
53.5823538759723,"Regular",1.42134132249454
94.2881593690254,"Regular",11.6089487726671
84.4486123020761,"Regular",5.19654601020118
43.9409203291871,"Regular",0.42230052656847
89.9777371343225,"Regular",1.27528832292918
48.1729071214795,"Regular",5.16319961427231
59.6244779648259,"Regular",5.09136221643143
40.0512492796406,"Regular",3.53394947846038
63.5444042552263,"Regular",3.76888327411614
68.1909470469691,"Regular",7.51551885901199
76.3334268284962,"Regular",4.03746062752201
37.9828949458897,"Regular",0.20769087039959
36.625012839213,"Regular",-0.151085443353393
42.3690861812793,"Regular",2.82551187247662
99.470109003596,"Regular",1.32243040406376
93.3718751277775,"Regular",3.74942511070836
58.237610894721,"Regular",11.610686594213
95.1326595223509,"Regular",9.86166564790883
83.7922165053897,"Regular",5.49409336667777
87.0279134670272,"Regular",5.05998248253164
99.8483155923896,"Regular",1.96588807174103
86.927199291531,"Regular",8.60448144828347
82.4339920561761,"Regular",7.65170631729357
39.175265119411,"Regular",15.8395297557472
61.7720206500962,"Regular",15.6517022763184
67.8553879610263,"Regular",0.171232228620989
36.7598296934739,"Regular",1.38789061805203
81.5201761689968,"Regular",-0.49171289660034
42.5553208147176,"Regular",8.02641300060982
39.2118565738201,"Regular",12.4455039423546
66.4156875852495,"Regular",7.14523602298289
55.0914277788252,"Regular",4.81935263093717
54.6346373856068,"Regular",11.2387617947206
71.3097166828811,"Regular",5.77785525582333
83.5531415906735,"Regular",1.15160484476042
72.054484069813,"Regular",4.7505174384557
40.6752051669173,"Regular",3.35918567957063
81.9428149238229,"Regular",5.47766556000892
97.5927447760478,"Regular",8.22655704125305
45.2188237872906,"Regular",5.09619151077074
37.137758040335,"Regular",13.0456088265426
83.7465543183498,"Regular",1.0220790670102
80.5405297758989,"Regular",6.98686091886858
53.2928699883632,"Regular",10.674817905103
48.4070424595848,"Regular",1.3907811523284
43.0061850720085,"Regular",3.18913091596627
37.1952709346078,"Regular",3.35678908673849
99.7007760638371,"Regular",7.0251245766846
72.8189043467864,"Regular",7.89244516769766
60.1185066369362,"Regular",14.3565123502877
34.8441350320354,"Regular",2.42293359449006
64.7105645341799,"Regular",8.02191147956417
87.3358771530911,"Regular",1.9235505861792
72.3868918116204,"Regular",5.43784387138659
88.403978664428,"Regular",6.81687374505809
71.2726556626149,"Regular",3.65608789743493
92.895945708733,"Regular",3.8506931908904
45.2802909049205,"Regular",1.86154798123071
94.9716321541928,"Regular",5.82884167815617
35.9974420885555,"Regular",8.28445340336033
48.9400662528351,"Regular",6.62009607931846
54.420855040662,"Regular",7.82321852740589
55.1451712707058,"Regular",7.18665909448276
43.5116777778603,"Regular",1.12530835197316
34.4179388484918,"Regular",6.13683706360709
66.2873202329502,"Regular",6.21668986459208
91.0013773222454,"Regular",8.86406281292475
96.2639011233114,"Regular",2.66876235968361
53.0790648423135,"Regular",-1.80471159466789
93.4526271070354,"Regular",3.78293736960517
68.6092310841195,"Regular",4.66605606263173
76.496352229733,"Regular",1.56819948304684
86.5730491396971,"Regular",5.68295131718369
85.461586038582,"Regular",6.22395428681385
78.5380925075151,"Regular",8.68676323295223
48.9139728737064,"Regular",0.882195125474175
75.1248775352724,"Regular",3.74329751130126
97.4103101203218,"Regular",4.36005813771395
37.6805216539651,"Regular",-5.31879266423855
86.6093623521738,"Regular",6.78079514573362
60.4902553465217,"Regular",1.68389108324471
86.2957015191205,"Regular",7.73327734553172
90.3202762105502,"Regular",3.81489910159345
60.3644296410494,"Regular",5.6624486337705
74.8194441036321,"Regular",1.92678279425409
95.094554068055,"Regular",9.19890573304028
