"engagement","premium","user_activity","ad_free","ticket","age","marketing","shoe_size"
64.2702230498396,1,63.7095844714667,1,1,30.3561121828133,1,4.09305769018829
11.3962461213302,0,44.3530182860391,1,0,34.8514501299171,0,0.923084450885653
32.905412697241,0,53.6312841133734,0,0,31.5501762581748,0,2.11721600499004
56.6368689623976,1,56.3286260496104,1,1,29.3022571875685,1,5.27890347316861
45.6572105105256,0,54.04268323141,0,0,28.3684443288693,0,11.2509016497061
29.3842926097053,0,48.9387548390852,0,0,29.4059524657745,0,7.84579097293317
48.3965161571742,0,65.1152199743894,0,0,34.4677944662278,0,7.06472387909889
31.5315302779547,0,49.053409615869,0,0,31.0555725533,0,6.80913850944489
89.470631826545,1,70.1842371387704,1,1,27.556101030823,1,0.230795131064951
30.738220727491,0,49.3728590094758,0,0,28.8981403744748,0,3.4377770377323
100.43815222493,1,63.0486965422349,1,1,18.5187710994874,0,10.1696498394012
87.7434717906033,1,72.8664539270111,1,1,31.3845613811727,1,7.80345476791263
-14.1541809412384,0,36.1113929888766,0,0,34.8690813369845,1,4.36368892528117
46.284160233836,0,47.2121123318263,0,0,24.3170286959072,1,4.49812704138458
18.849759144916,0,48.6667866360634,0,0,30.4804106742588,0,9.44804271217436
64.2720762937597,1,56.3595039807007,1,0,27.5732513192544,1,9.68434542417526
44.6081097281997,1,47.1574707858393,1,1,26.0580048659399,1,7.68749278318137
-11.5606510159496,1,23.4354457909522,1,0,30.4391992704889,1,6.79752077255398
-6.69397594061953,0,25.5953307142448,0,0,26.288270318742,0,2.89589893911034
70.8783853498793,1,63.2011334573019,1,1,29.6132164673094,0,9.60326100792736
17.8764839700954,1,46.9336140592153,1,0,36.6163640727657,1,9.81734591536224
34.3446366951432,0,32.1869156602,1,0,21.4926904086243,1,11.5299673425034
36.2070236065449,0,48.2808264424038,0,0,26.632609377367,0,5.19612765312195
75.728832841532,1,62.146746991726,1,1,27.8514664387039,1,9.45369674451649
48.2242010232149,0,68.9519346126497,0,0,36.2393442200813,0,1.74905516579747
19.4230345054498,1,45.695308683938,1,0,34.4193996584487,1,2.57450305949897
39.4484758398256,1,47.4273061723107,1,0,29.7105402435107,1,4.07940401136875
23.5503984711598,1,32.3683691480522,1,0,23.8633782327776,1,9.8645838405937
50.6144451032836,1,54.6009735483127,1,1,31.3760164391656,1,5.3292039334774
15.1273052298645,0,43.6000512403988,0,0,30.5113286132005,0,7.67270452715456
30.3817723422631,0,54.5545012324122,0,0,32.508901030348,0,6.72173923719674
49.0689630379564,1,57.0483733722882,1,0,30.0115011358022,1,0.821200403384864
85.050856091327,1,60.3510352196992,1,1,22.985987546376,0,1.9309817450121
17.0869029134707,0,43.9107362459279,0,0,28.5627475093649,1,3.35652393847704
14.6382863610669,0,55.0495512329797,0,0,37.5085615076785,0,9.27665489260107
21.8627070312556,0,32.8299132092666,0,0,21.6462586410674,0,6.27682374045253
20.4105610992305,1,42.155409916205,1,0,30.7561562921007,1,5.97693230956793
-13.9717952831439,0,41.4909240582348,0,0,37.9381014553894,0,1.40046811848879
-6.85183379005146,0,25.8579235005337,0,0,27.7338491012496,0,5.28223106078804
38.3620740847297,1,50.3612260689226,1,0,32.5248103593012,1,10.1142123984173
