"x","y","treatment","age","history"
77.891747739628,1029.91877676894,1,38,366.403552550511
44.0925139494583,799.318619365282,0,38,305.344981298144
42.0800751334208,577.628190964928,0,35,369.760179027798
36.2094199037706,770.076788376043,0,35,324.455691117329
66.4810107686968,1127.92312537835,1,31,447.754736811318
65.7128812926353,1187.67731483762,1,42,392.92189731118
41.0065778382897,800.320291979429,0,36,194.035044279377
41.9421652874951,647.14658039945,0,31,254.918936018814
27.4307104022649,577.697835072301,0,27,159.776925703591
25.7344626167174,637.948283493745,0,33,237.200178754456
30.6642138714554,646.410232513476,0,33,267.65620924188
51.8024431231074,1028.91613111781,1,38,352.475610225414
69.4094355584853,873.754797587359,1,40,279.728543933581
50.1567655575401,995.537595889166,1,33,258.353503631777
1.30872961648673,182.007053380776,0,26,81.3230311345207
46.6210138735939,750.851248996476,0,29,222.843566240539
36.9520724513163,640.574822644019,0,35,207.889500743973
53.5771513417545,1023.98976568699,1,40,340.234885304655
35.2703602622442,573.574372596629,0,33,131.365926767216
12.7899620571197,360.165548637486,0,35,168.590409518534
62.9182912368527,1047.42845296001,1,35,325.673953192568
47.1049229265753,670.970196125556,0,33,245.562349604155
72.3176950320548,1081.44744372715,1,44,401.712288651532
44.1136271310827,777.524002065533,0,35,195.213766491753
48.2585478811561,875.165992871629,0,36,329.745273530965
31.5627170702127,661.365560139702,0,33,200.983052126453
61.0289386898168,982.595991614837,1,33,308.214834102325
59.3579156447493,941.720798655124,1,36,439.253260826499
26.7471775507968,512.620254339576,0,30,135.547142652908
51.1595771158055,870.162229361289,1,34,235.438258481677
31.0148137055197,494.026045956183,0,26,129.758617609151
44.6559166612083,705.419848494769,0,28,162.449598514201
47.7076138300914,682.733580901551,0,37,265.470065218258
57.8593146664663,1138.2792180492,1,35,402.995121406545
35.6146239141341,731.031785568038,0,35,216.486867071901
47.1276497577984,733.459299042294,0,43,310.358016354402
66.7194138151203,973.339621790275,1,35,320.817194478712
49.0145872170366,743.559492642959,0,29,216.904318119591
38.6603463439112,617.452772492875,0,36,204.972140335452
65.7253770212031,1203.25199268132,1,33,364.912393443974
