"customer_id","invitation","daily_emails","revenue","tenure_months","past_purchase","engagement_score"
1,1,0,161.263060651897,24.8546692387518,97.9789780264044,43.2995250551693
2,1,0,136.15721342012,35.6434803118009,124.583290946016,33.6800788104615
3,0,0,144.202977655538,27.7204230196195,77.433212188635,47.8495630662273
4,1,1,150.033013688369,22.3254172501643,98.3095035243927,27.4161058059867
5,1,1,201.890964301516,20.0842663892864,372.199550261247,62.1187132091884
6,1,0,199.519944477414,22.5742859178587,499.988878380276,46.9080095075807
7,1,0,275.479970249399,34.7227067189468,450.317248342828,54.4212421702666
8,0,0,213.580102446657,26.5333741279201,246.96137872779,77.3883047190244
9,1,1,200.97171988056,18.1346424739753,317.924365152284,94.6439075183326
10,1,0,127.145551232667,21.3555368987394,240.274440608191,37.9731085899418
11,0,0,191.796886845794,1,250.34502086383,61.2028870877214
12,1,0,148.642867513288,27.3229473148145,220.497262623957,42.849396686376
13,1,1,231.815030339302,35.6857952087627,259.09783331864,24.0933394407163
14,0,0,190.754143136853,10.3608688701773,278.129414325309,10.2612885402406
15,0,0,179.286844663126,25.1529856182212,151.878510619495,55.8624161514459
16,1,1,157.262903454242,18.1758031662106,267.987824142595,43.8958117797296
17,1,1,207.527370336792,14.5392116782557,388.532424110238,50.6138952299801
18,0,0,242.708987331169,25.0540782491734,304.245569174574,41.1845434882558
19,0,0,210.747931307369,15.0918487649808,224.970770982217,34.4399906385229
20,1,1,164.831202684919,23.0717195215426,194.019800831871,44.8800039475355
21,1,1,202.278318860704,39.8792737746378,228.733425540262,45.6625127141891
22,0,0,98.7469896801711,3.58245698069842,131.741814710851,29.0171052671451
23,1,0,121.028651979341,15.9182625056808,45.3583000696713,38.2265847334738
24,1,1,206.202073987967,18.8435194528894,335.031258906715,32.3830260827314
25,0,0,185.182857736444,38.974426128195,114.100080553116,84.0963840433696
26,1,1,214.572353783617,34.606559180277,228.421309014023,84.8043282521993
27,0,0,200.110282052264,23.3052965844257,373.96202089084,46.9087714155216
28,1,0,245.485769130596,9.27210775866624,264.760809558088,41.947417668981
29,0,0,187.450781856854,27.3024394539973,391.500728192594,63.5842884985689
30,1,0,151.929063931261,25.2271886716812,57.828053673137,50.4265874616245
31,1,0,106.890309131526,30.0213624728351,125.55284370258,0
32,1,0,206.532723347571,24.0276027259253,222.618562163618,40.0571119086385
33,0,0,162.556805442019,7.1663701113024,194.339492201287,24.6616660479765
34,1,0,203.15809489513,20.5505940224758,271.448978440371,24.712457923613
35,0,0,217.06129374003,42.0205476184284,327.043609880513,86.3485929898059
36,1,1,209.793798954706,3.95102073856176,363.764356536879,54.7556753887062
37,0,0,112.496110163023,25.8147751010417,331.319382846802,41.9441454142811
38,0,0,132.024107128756,43.0514434929345,122.175842702042,20.5707575792414
39,1,1,179.124009564618,18.5612378429989,198.8856267491,43.4619155373012
40,1,0,138.555886824931,30.059544862323,245.944714867031,27.0338211800869
41,0,0,118.622555900165,18.2331244659585,168.413706940213,25.314641162664
42,0,0,171.497551993264,28.9271832481269,197.195037885265,48.9655852019593
43,0,0,130.865145363249,8.00274611559842,163.301799677482,47.5099248228266
44,1,0,142.845916878626,16.5464866976471,259.263594826444,84.0359048402108
45,0,0,211.480765078479,36.8288178578856,347.839836224925,58.7992786903405
46,1,1,160.838471649819,51.4405952365976,87.8159231077194,44.9923304625748
47,1,0,171.826378170907,18.8969342835729,245.173419563917,61.7144477569218
48,1,1,135.171972038665,28.4938029243448,91.202516168996,85.9331380155463
49,1,1,248.740027230506,38.5654853197043,201.58394884299,59.0297548366704
50,1,0,110.496729114534,21.3093460192143,172.507792963978,72.8706810881424
51,0,0,102.524363065466,25.746797983296,151.171067320505,27.316340164282
52,0,0,169.081661406414,33.0816440346768,188.758991645167,46.0309648498615
53,0,0,182.492039832665,1,371.556408705014,37.4013829604144
54,1,1,162.394069236212,31.5267449133178,294.211113701623,45.4883734310673
55,0,0,107.723338762148,13.5661620080492,237.385933249147,41.9195029155134
56,1,1,155.339976859044,25.3046800973073,148.711118599831,84.2841318401802
